Abernathy Darwin,Dunlap
Abigail,Sponder
Ace,Merrill
Alan,Reed
Alberto,Malich
Alexander,Dane
Alexandria,Dunphy
Alex,Garrett
Alexis,Castle
Alice,Longbottom
Alistair,Deacon
Amandine,Poulain
Amélie,Poulain
Amos,Diggory
Amy,Green
Amy,Stone
Amy,Wong
André,Marek
Andromeda,Black
Andy,Dufresne
Angelica,Teach
Angelina,Johnson
Annabel,Fairfax
Annagramma,Hawkin
Arabella,Figg
Argus,Filch
Arlen,Bales
Arthur,Weasley
Artur,Hawkwing
Ashley,Banks
Augusta,Longbottom
B.A.,Baracus
Bartemius,Crouch
Bartleby,Gaines
Basher,Tarr
Beanie,Campbell
Bebe,Glazer
Belatrix,Black
Bellatrix,Lestrange
Bender,Rodriguez
Ben,Harper
Benjamin,Lockwood
Ben,Lewis
Ben,Lewis
Ben,Stone
Bernadette,Rostenkowski
Berniece,Brackett
Bertha,Jorkins
Bertie,Bott
Biff,Tannen
Bill,Weasley
Billy,McBride
Billy,Tessio
Billy Tim,Denham
Birgitte,Silverbow
Birtha,Jorkins
Blaise,Zabini
Bloody,Barron
Bob,Alexander
Bobbie,Morganstern
Bob,Kelly
Bob,Ogden
Bob,Parr
Bob,Parr
Bonnie,Donaly
Brad,Stevenson
Bret,Stiles
Brian,Fantana
Brick,Tamland
Bruce,Banner
Bucky,Buchanan
Buddy,Pine
Bulldog,Briscoe
Bunny,Lebowski
Butch,Coolidge
Cadsuane,Melaidhrin
Cal,Naughton Jr.
Cameron,Drake
Cameron,Tucker
Cam,Winston
Carley,Bobby
Carlton,Banks
Carrot,Ironfoundersson
Cassandra,Stone
Catherine,Banning
C.C.,Babcock
Cece,Parekh
Cedric,Diggory
Celine,Naville
Champ,Kind
Chandler,Bing
Charissa,Sosa
Charles,Tucker III
Charlie,Harper 
Charlie,Hogan
Charlie,Weasley
Chazz Michael,Michaels
Cheery,Littlebottom
Cho,Chang
Chris,Chambers
Chris,Hughes
Christopher,Chant
Chuckie,Sullivan
Claire,Cleary
Claire,Dunphy
Claire,French
Clint,Barton
Colin,Creevy
Colonel,Lynch
Constance,Spano
Cora,Winston
Cormac,McLaggen
Cornelious,Fudge
Cory,Flemming
Craig,O'Laughlin
Damer,Flinn
Daniel,Collins
Daniel,Ocean
Danny,Imperiali
Daphne,Greengrass
Daphne,Moon
Daryl,Holloway
Dashiell,Parr
Dave,Kingman
Dave,Kovic
Dave,McFly
David,Levinson
David,Stern
Davram,Bashere
Davy,Jones
Dean,Thomas
Debi,Newberry
Dedulus,Diggle
Delphine,Angua
Denholm,Reynholm
Dennis,Creevey
Denny,Shields
Derek,Zoolander
Derrial,Book
Dexter,Haven
Diane,Chambers
Diane,Gaines
Dinah,Lord
Doctor,Zoidberg
Dominique,Bretodeau
Donald,Tilson
Donny,Douglas
Donny,Kerabatsos
Donovan,Donaly
Douglas,Reynholm
Dr. Arik,Soong
Dr. Mel,Karnofsky
DrWilliam,Tewksbury
Duane,Murphy
Duane,Stevenson
Duddly,Dersly
Eddie,Carmichael
Eddie,Langston
Eddie,Menuek
Eddie,Thomas
Edgar,Bones
Ed,Harken
Edmund,Collins 
Edna,Mode
Edward,Johnston
